"X","DATE","LATITUDE","LONGITUDE","OFFENSE","PRECINCT","BOROUGH","JURISDICTION","DAY","MONTH"
646103,2013-10-06,40.8188154050001,-73.95408521,"FELONY ASSAULT",30,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Oct"
938880,2014-08-23,40.6924337780001,-73.97171564,"BURGLARY",88,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Aug"
687550,2013-08-10,40.6726153290001,-73.93494972,"GRAND LARCENY",77,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Aug"
932593,2014-08-04,40.8168694620001,-73.88662497,"FELONY ASSAULT",41,"BRONX","N.Y. POLICE DEPT","Monday","Aug"
1063560,2014-09-25,40.679700408,-73.776047368,"GRAND LARCENY",113,"QUEENS","PORT AUTHORITY","Thursday","Sep"
1105737,2014-11-19,40.668188039,-73.875137068,"FELONY ASSAULT",75,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Nov"
797102,2013-05-04,40.8395224810001,-73.920489473,"GRAND LARCENY",44,"BRONX","N.Y. POLICE DEPT","Saturday","May"
851820,2013-03-11,40.7778856410001,-73.826714405,"GRAND LARCENY",109,"QUEENS","N.Y. POLICE DEPT","Monday","Mar"
1083590,2015-12-25,40.762555794,-73.80416386,"FELONY ASSAULT",109,"QUEENS","N.Y. POLICE DEPT","Friday","Dec"
837499,2013-06-09,40.8319696620001,-73.9299263999999,"GRAND LARCENY",44,"BRONX","N.Y. POLICE DEPT","Sunday","Jun"
911451,2015-03-25,40.6375025900001,-74.084237746,"BURGLARY",120,"STATEN ISLAND","N.Y. POLICE DEPT","Wednesday","Mar"
1101888,2015-12-30,40.6365765030001,-74.078006945,"GRAND LARCENY",120,"STATEN ISLAND","N.Y. POLICE DEPT","Wednesday","Dec"
689159,2013-08-10,40.74236691,-74.0080525609999,"GRAND LARCENY",10,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Aug"
652133,2013-04-19,40.8443204660001,-73.857877182,"GRAND LARCENY",49,"BRONX","N.Y. POLICE DEPT","Friday","Apr"
891099,2013-07-26,40.7009724820001,-73.936584651,"BURGLARY",83,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jul"
961740,2014-02-21,40.854626388,-73.9380431449999,"BURGLARY",34,"MANHATTAN","N.Y. POLICE DEPT","Friday","Feb"
1092190,2015-09-03,40.8046164130001,-73.952744071,"GRAND LARCENY",28,"MANHATTAN","N.Y. POLICE DEPT","Thursday","Sep"
848391,2013-10-22,40.6583122650001,-73.833869395,"FELONY ASSAULT",106,"QUEENS","N.Y. POLICE DEPT","Tuesday","Oct"
868070,2013-05-31,40.7192197540001,-73.985492111,"GRAND LARCENY",7,"MANHATTAN","N.Y. POLICE DEPT","Friday","May"
1045218,2014-12-12,40.6961495670001,-73.817882364,"BURGLARY",102,"QUEENS","N.Y. POLICE DEPT","Friday","Dec"
1023295,2015-10-31,40.8582332720001,-73.887635355,"ROBBERY",48,"BRONX","N.Y. POLICE DEPT","Saturday","Oct"
1044337,2015-03-09,40.728153451,-73.98200847,"ROBBERY",9,"MANHATTAN","N.Y. POLICE DEPT","Monday","Mar"
1003684,2015-04-29,40.6822777720001,-73.961105371,"GRAND LARCENY",88,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Apr"
650962,2012-12-09,40.7911518670001,-73.884371919,"FELONY ASSAULT",41,"BRONX","DEPT OF CORRECTIONS","Sunday","Dec"
831583,2015-06-07,40.840781109,-73.936245382,"GRAND LARCENY",33,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Jun"
1022680,2015-04-22,40.87864856,-73.824083214,"GRAND LARCENY",45,"BRONX","N.Y. POLICE DEPT","Wednesday","Apr"
1011949,2014-08-19,40.811130194,-73.936714506,"FELONY ASSAULT",25,"MANHATTAN","N.Y. HOUSING POLICE","Tuesday","Aug"
944533,2014-03-08,40.8093490960001,-73.948167439,"GRAND LARCENY",28,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Mar"
862835,2013-04-06,40.846278812,-73.89205787,"ROBBERY",48,"BRONX","N.Y. POLICE DEPT","Saturday","Apr"
802235,2013-05-23,40.6697633750001,-73.910273908,"GRAND LARCENY",73,"BROOKLYN","N.Y. POLICE DEPT","Thursday","May"
863590,2013-05-28,40.859651693,-73.90533255,"ROBBERY",52,"BRONX","N.Y. POLICE DEPT","Tuesday","May"
661514,2013-07-12,40.6342287100001,-73.9983333,"BURGLARY",66,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jul"
859392,2015-07-28,40.6851943720001,-73.837516251,"ROBBERY",102,"QUEENS","N.Y. POLICE DEPT","Tuesday","Jul"
976631,2015-03-15,40.7344986890001,-73.95835061,"GRAND LARCENY",94,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Mar"
1054588,2015-02-17,40.6714797930001,-73.7300220549999,"GRAND LARCENY",105,"QUEENS","N.Y. POLICE DEPT","Tuesday","Feb"
907671,2014-05-23,40.8248849720001,-73.899459937,"GRAND LARCENY",42,"BRONX","N.Y. POLICE DEPT","Friday","May"
878203,2014-04-12,40.853960274,-73.900120875,"RAPE",46,"BRONX","N.Y. POLICE DEPT","Saturday","Apr"
1029226,2014-10-26,40.6901490860001,-73.867840825,"FELONY ASSAULT",102,"QUEENS","N.Y. POLICE DEPT","Sunday","Oct"
1030179,2015-06-26,40.666704086,-73.961619103,"GRAND LARCENY OF MOTOR VEHICLE",71,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jun"
1007516,2015-10-11,40.6651939870001,-73.754414502,"ROBBERY",105,"QUEENS","N.Y. POLICE DEPT","Sunday","Oct"
1020517,2013-11-13,40.6124646760001,-73.9882958379999,"GRAND LARCENY",62,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Nov"
1104897,2015-08-25,40.6642800110001,-73.891937863,"GRAND LARCENY OF MOTOR VEHICLE",75,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Aug"
1080440,2014-10-23,40.6690076,-73.80356617,"FELONY ASSAULT",106,"QUEENS","N.Y. POLICE DEPT","Thursday","Oct"
929412,2014-02-12,40.7578390030001,-73.991212111,"GRAND LARCENY",14,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Feb"
1044840,2014-01-31,40.7557267600001,-73.979254216,"GRAND LARCENY",18,"MANHATTAN","N.Y. POLICE DEPT","Friday","Jan"
970941,2013-07-09,40.8336224560001,-73.8608524269999,"FELONY ASSAULT",43,"BRONX","N.Y. POLICE DEPT","Tuesday","Jul"
882293,2015-01-05,40.8188876340001,-73.9165001969999,"GRAND LARCENY OF MOTOR VEHICLE",40,"BRONX","N.Y. POLICE DEPT","Monday","Jan"
1090933,2015-01-16,40.724644175,-73.9742382439999,"GRAND LARCENY",9,"MANHATTAN","N.Y. HOUSING POLICE","Friday","Jan"
1122906,2014-10-18,40.6842315170001,-73.910824127,"MURDER & NON-NEGL. MANSLAUGHTE",83,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Oct"
880932,2013-04-30,40.7763005910001,-73.825830325,"FELONY ASSAULT",109,"QUEENS","N.Y. POLICE DEPT","Tuesday","Apr"
675659,2014-05-22,40.670958668,-73.737302456,"GRAND LARCENY OF MOTOR VEHICLE",105,"QUEENS","N.Y. POLICE DEPT","Thursday","May"
838145,2012-12-17,40.7673241000001,-73.984297521,"GRAND LARCENY",18,"MANHATTAN","N.Y. POLICE DEPT","Monday","Dec"
827512,2013-01-01,40.7165660480001,-74.010022663,"FELONY ASSAULT",1,"MANHATTAN","N.Y. POLICE DEPT","Tuesday","Jan"
983617,2013-07-06,40.86209525,-73.925057462,"FELONY ASSAULT",34,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Jul"
1040295,2015-01-28,40.6667956910001,-73.896511706,"FELONY ASSAULT",75,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Jan"
1116708,2015-10-29,40.7368388730001,-73.990543709,"GRAND LARCENY",13,"MANHATTAN","N.Y. POLICE DEPT","Thursday","Oct"
907481,2013-05-20,40.72618713,-73.735233904,"GRAND LARCENY",105,"QUEENS","N.Y. POLICE DEPT","Monday","May"
893736,2013-10-31,40.620581423,-73.92026398,"GRAND LARCENY",63,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Oct"
1107331,2015-10-02,40.691106222,-73.9248710159999,"GRAND LARCENY",83,"BROOKLYN","N.Y. POLICE DEPT","Friday","Oct"
